id,name,university,platform,description,website,certificate,date,image_url,project,other
1,Control of Mobile Robots,Georgia Institute of Technology,Coursera,"Learn about how to make mobile robots move in effective, safe, predictable, and collaborative ways using modern control theory.",https://www.coursera.org/course/conrob,http://psurya.com/certificates/cmr.pdf,March 2013,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/57/de92f0f35d11e4bc4e75c89daabe86/Control-of-Mobile-Robots-icon600x340.jpg?auto=format&dpr=1&w=300&h=169&fit=crop,,
2,Computer Networks,University of Washington,Coursera,The Internet is a computer network that millions of people use every day. Understand the design strategies used to solve computer networking problems while you learn how the Internet works.,https://www.coursera.org/course/comnetworks,http://psurya.com/certificates/cn.pdf,April 2013,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/0d/4391d0352d11e4aeabbf8c949e23f9/large-icon.png?auto=format&dpr=1&w=451,,
3,Fundamentals of Electrical Engineering,Rice University,Coursera,"This course explicates fundamental ideas in electrical engineering, seeking to understand how electrical signals convey information, how bits can represent smooth signals like music and how modern communication systems work.",https://www.coursera.org/course/eefun,http://psurya.com/certificates/fee.pdf,April 2013,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/bb/9043d0352a11e4983ad3612bf5dfa7/large-icon.png?auto=format&dpr=1&w=300&h=169&fit=crop,,
4,Creative Application Design,University of LIP,Coursera,This course assits students who would like to apply their technical skills to creative work ranging from video games to art installations to interactive music.,https://www.coursera.org/course/digitalmedia,http://psurya.com/certificates/cad.pdf,July 2013,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/24/63a093e763b307dc9420e796aeb06a/GoldComputing3.jpg?auto=format&dpr=1&w=300&h=169&fit=crop,,
5,Introduction to Public Speaking,University of Washington,Coursera,"The overriding goal of this course is to demystify the process of writing, practicing, and performing a clear and engaging speech. It helped me improve the quality of my speeches and presentation confidence. ",https://www.coursera.org/learn/public-speaking,,September 2013,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/b9/6600483a7588998627ea34d3c8dee8/Public-Speaking.jpg?auto=format&dpr=1&w=300&h=300&fit=fill&bg=FFF,https://www.youtube.com/playlist?list=PLmcMMZCV897q1uO1GxetprX9VH_vGVe9o,
6,Writing in Sciences,Stanford University,OpenEdX,"This course covers the fundametals of technical writing. Topics include: principles of good writing, tricks for writing faster and with less anxiety, the format of a scientific manuscript, and issues in publication and peer review.",http://online.stanford.edu/course/writing-in-the-sciences,https://prod-cert-bucket.s3.amazonaws.com/downloads/ff22f47a442e4bccad50a24a95474bf7/Statement.pdf,November 2013,https://lagunita.stanford.edu/c4x/Medicine/Sci-Write/asset/images_course_image.jpg,,
7,Make your own 2048,,Udacity,This course teaches on how to modify the famous 2048 game to make your own version.,https://www.udacity.com/course/ud248,,May 2014,https://lh4.ggpht.com/kJEnfqhPvtm4m3EneSZ4fWYGS8lW4YNhEjk6zPkyrQaBUHc-2Y_ElDic99NHI0h-UBLXVbRCjFybFvrWxdk=s290#w=970&h=485,http://www.psurya.com/10,
8,Digital Image and Video Processing,Northwestern University,Coursera,"This course will cover the fundamentals of image and video processing including fourier transform, sampling, motion estimation, image and video enhancement, recovery and compression.",https://www.coursera.org/course/digital,http://psurya.com/certificates/divp.pdf,June 2014,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/6d/c49bbac1cbaecf9a2ff557e517634c/logo_aggelos.jpg?auto=format&dpr=1&w=300&h=169&fit=crop,,
9,Programming in Python,,Codecademy,Learn the fundamentals of programming to build web apps and manipulate data.,http://www.codecademy.com/tracks/python,,June 2014,http://python3.codes/wp-content/uploads/2015/06/Python3-powered.png,,
10,Autonomous Navigation for Flying Robots,TU Munich,edX,You will learn how to infer the position of the quadrotor from its sensor readings and how to navigate it along a trajectory.,https://www.edx.org/course/autonomous-navigation-flying-robots-tumx-autonavx-0#.U6WWvvmSySo,https://s3.amazonaws.com/verify.edx.org/downloads/99cfb1ade0cf47618c5479a8285c9647/Certificate.pdf,July 2014,https://www.edx.org/sites/default/files/course/image/promoted/autonav-image378x225.jpg,,
11,Learning How to Learn,UC San Diego,Coursera,"In this course, I learnt some powerful mental tools to master tough subjects. I also got some insights into how to brain oragnises memory and what kind of techniques can help you learn better. ",https://www.coursera.org/course/learning,http://psurya.com/certificates/lhtl.pdf,August 2014,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/e9/d304b0dfdb11e4acde5311b14654d2/Learning-How-to-Learn-Logo-with-text.png?auto=format&dpr=1&w=300&h=300&fit=fill&bg=FFF,,
12,6.002x: Circuits and Electronics,MIT,edX,"Learn techniques that are foundational to the design of microchips used in smartphones, computers, and the Internet.",https://www.edx.org/course/circuits-electronics-mitx-6-002x,http://psurya.com/certificates/cae.pdf,August 2014,https://www.edx.org/sites/default/files/course/image/promoted/eecs6002x_378x225.jpg,,
13,Design Essentials,Canva Design School,Canva,"The course teaches how to create designs in Canva while guiding through simple yet powerful tools and techniques. It covers topics ranging from fonts, color, images, backgrounds, shapes, icons, layout and branding.",https://designschool.canva.com/tutorials/,http://psurya.com/certificates/de.png,January 2015,http://psurya.com/certificates/de.png,http://psurya.com/certificates/de-bc.pdf,
14,YouTube Thumbnail Secrets,Alun Hill,Udemy,"In this comprehensive video course, which teaches how to make thumbnails and graphics correctly for YouTube.",https://www.udemy.com/youtube-thumbnail-secrets/,http://psurya.com/certificates/wsnh.jpg,January 2015,https://dujk9xa5fr1wz.cloudfront.net/course/750x422/149720_3af4_11.jpg,,
15,"Work Smarter, Not Harder: Time Management for Personal & Professional Productivity","University of California, Irvine",Coursera,"You will be able to gain and apply your knowledge and understanding of personal and professional awareness, organization and commitment, and use the tools, methods and techniques that you have learned in goal setting, prioritization, scheduling, and delegation to overcome time management challenges and enhance productivity.",https://www.coursera.org/learn/work-smarter-not-harder/,http://psurya.com/certificates/wsnh.jpg,May 2015,https://coursera-course-photos.s3.amazonaws.com/ee/5c8f8049b111e4bc80b986c176101c/Time-Mangagement-Course-2.jpg,,
16,The Science of Happiness,"University of California, Berkeley",edX,"In this course, students will engage with some of the most provocative and practical lessons from this science, discovering how to apply key insights from cutting-edge research to their own lives.",https://www.edx.org/course/science-happiness-uc-berkeleyx-gg101x,https://s3.amazonaws.com/verify.edx.org/downloads/98a5880c3c444fa486b3ef142bbdb1e1/Certificate.pdf,May 2015,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/gg101x_course_banner378x225.jpg?itok=dLxbx0fU,,
